wallet,n_trades,n_races,total_notional,net_exposure_ratio,win_rate,mean_edge,edge_stderr,credibility_score
0x4f9a61b0fe32dfab0eb69168bbcd2937267ada47,2,1,2.14,0.009345794392523372,0.5,0.005949999999999955,0.6356499999999999,-0.6296999999999999
0x4fd8756ee95f94aba1b0bb41eb9c896158bc718a,2,1,0.01,1.0,0.5,-0.004449999999999954,0.76825,-0.7726999999999999
0x4fe0a967d59b2bb31c5cbc3a4496fdc3fe5396c2,2,1,1.9900000000000002,0.06532663316582914,0.5,-0.024400000000000033,0.6356999999999999,-0.6600999999999999
0x4fe26282f10c7903a1af09fa376af8d885ba87c5,1,1,3.0,1.0,1.0,0.17510000000000003,inf,-inf
0x4ff382b9be7f23f55ff000d4d6283f1816980331,2,1,0.01,1.0,0.5,-0.004349999999999965,0.76785,-0.7722
0x5008aacc3aa485edacb46a55917c6bb2293f3cdb,2,1,2.16,0.009259259259259267,0.5,0.006149999999999989,0.63585,-0.6297
0x5008db07606939611069904908d0c7cca3111112,1,1,0.02,1.0,1.0,0.7637,inf,-inf
0x504410930e4ad1287927e1abf0c2d5e7f105cd7c,1,1,0.08,1.0,0.0,-0.2883,inf,-inf
0x50620632472cc9b1cabf1b65ce8085c181fda13e,1,1,1.0,1.0,1.0,0.5803,inf,-inf
0x507e75f3c6839757a1c90dd0d12b0cbafe5e93a1,1,1,0.01,1.0,0.0,-0.2713,inf,-inf
0x5087231ada093eb2464833345965c173b56fefb6,1,1,0.06,1.0,0.0,-0.2654,inf,-inf
0x509587cbb541251c74f261df3421f1fcc9fdc97c,8,1,2607.36,0.08232848551791853,0.125,-0.1776,0.041900741554978985,-0.219500741554979
0x50c513cc2f3c2ab63061cc119f74b6a27d71ab3d,8,7,16.0,1.0,0.25,-0.1938375,0.15131731552495425,-0.34515481552495425
0x50c91736568f89812c39e4a84cba958975de0870,2,1,0.01,1.0,0.5,-0.005950000000000011,0.76975,-0.7757000000000001
0x50edced22eaaeb52f457b8bc2023c49e2b805d31,1,1,0.18,1.0,0.0,-0.1581,inf,-inf
0x50fe02f976a220e473df82a287652362ab5e1345,2,2,6.26,1.0,0.0,-0.18970000000000004,0.04770000000000002,-0.23740000000000006
0x510f76396f35f66b9ed6e31ae607b65ece6e5817,1,1,200.0,1.0,1.0,0.12229999999999996,inf,-inf
0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2,382,35,41328.62,0.2607336030092463,0.7303664921465969,0.0547651832460733,0.014371314634759024,0.040393868611314276
0x512fe8c23bd933cb391bb89b85a20dc5c43fa772,2,1,58.93,0.018157135584591894,0.5,-0.009500000000000008,0.4771,-0.48660000000000003
0x51416cfcd44098b2e4774025056eff26f071bf1a,1,1,0.07,1.0,0.0,-0.2713,inf,-inf
0x51660e9cc4d544dda2c0b8da2700e2bbcdeeee2d,2,1,0.01,1.0,0.5,-0.005950000000000011,0.76975,-0.7757000000000001
0x5167657ce52d8dfcdbfe9e01252bdf112f6bde57,1,1,0.13,1.0,0.0,-0.2724,inf,-inf
0x5168506a36ae004811a0fa36db3a1f937ff69f1f,2,2,1600.0,1.0,0.5,-0.27155,0.39175,-0.6633
0x51adcdb09b4a7ba1ac273c5688e00ec5e52186db,1,1,0.27,1.0,1.0,0.7267,inf,-inf
0x51d221b499407ba2f4398fff59dbf3f384598cf9,2,1,0.01,1.0,0.5,-0.004349999999999965,0.76785,-0.7722
0x51d8002b8e0acaacc26ea1d0ff1e124029d0a129,1,1,0.01,1.0,0.0,-0.2861,inf,-inf
0x51e9cd95120cc294338473f8044c0b3a62735302,1,1,500.0,1.0,1.0,0.3752,inf,-inf
0x520bc53d046a1c14bab8bfc0823444cbd0c76147,2,1,0.01,1.0,0.5,-0.0041999999999999815,0.7679999999999999,-0.7721999999999999
0x5223d8a31428ee48ccf42bb37be378860843b511,1,1,0.01,1.0,0.0,-0.2729,inf,-inf
0x522e371e7ccbcb91bc30de540f6e1fb7747461d3,1,1,0.05,1.0,0.0,-0.2883,inf,-inf
0x5230e999b3cad57572c7e7541cf9b2edd0a4f019,1,1,0.01,1.0,0.0,-0.2713,inf,-inf
0x5239fce58000d63fa071e27101eece82f48464a4,14,2,9077.550000000001,0.9135890190635136,0.8571428571428571,0.010921428571428566,0.05412082755896467,-0.0431993989875361
0x523c23c5f6f316ef9ee35b69a9a4a3412e2a0601,10,7,4157.13,0.7670363928960605,0.8,0.14408999999999997,0.1228172585139763,0.021272741486023664
0x528a5b21ac27ee7d9b7a8b9d74a6ac093fa8248b,2,1,0.01,1.0,0.5,-0.0041500000000000425,0.77155,-0.7757000000000001
0x52973be49bc5d356ce0d45694e1f46b3dfd4bc35,1,1,0.02,1.0,0.0,-0.2713,inf,-inf
0x52a9917dad35ded7a3337d83f69ee1835aa8746f,1,1,0.17,1.0,0.0,-0.2859,inf,-inf
0x531d8274ea377c44f1d534b0625dbff020045438,2,1,0.01,1.0,0.5,-0.004100000000000048,0.7716000000000001,-0.7757000000000001
0x53298d9f588832a61051fb2fbbe60d1788003c2b,9,5,245.79,0.790146059644412,0.1111111111111111,-0.26617777777777785,0.12991907927819465,-0.39609685705597253
0x5362d246690ada3e4ddcd30cbeb49f5f9a34bd32,1,1,0.1,1.0,0.0,-0.2713,inf,-inf
0x536ff2ad7ba6f82a6642c22fa22e7db5895c8aa6,1,1,0.14,1.0,1.0,0.7573,inf,-inf
0x53750771af241a1c91ddf901ea4f41c307837314,3,1,11996.69,1.0,0.0,-0.6725333333333333,0.005514324779859978,-0.6780476581131933
0x537979ecf51b3afa500c56ab3ea320bd936a5af9,4,2,140.59,0.018706878156341127,0.5,0.0002500000000000141,0.1604163411252108,-0.16016634112521078
0x53d921fc5e8b90cc0ebc58d7d7cf93d99b5b3f1d,2,1,0.01,1.0,0.5,-0.005950000000000011,0.76975,-0.7757000000000001
0x53e45057c0650899989fefba46b54193587ac0c0,1,1,0.1,1.0,0.0,-0.2713,inf,-inf
0x540131e29de9ba70075687734935947dd6e1be30,2,1,0.01,1.0,0.5,-0.005950000000000011,0.76975,-0.7757000000000001
0x54222066104d43f3cbec44473cbc1a427934f99c,2,1,0.01,1.0,0.5,-0.0041999999999999815,0.7679999999999999,-0.7721999999999999
0x542aae10712e812bd71d792861ec5a570aa8a81b,10,3,435.95,0.03103566922812247,0.5,-0.005360000000000009,0.17695143602443894,-0.18231143602443894
0x543fbabf7fc0acbf3c27a706cbe4cda7854093c6,1,1,0.02,1.0,1.0,0.7637,inf,-inf
0x5446fe5868e4e6da0ab784b005fe423df62218f6,37,14,465.33000000000004,0.8305718522338985,0.43243243243243246,-0.149672972972973,0.07256621369549213,-0.22223918666846512
0x544d2c6adb62a48ac0beb95972639553a661ae2f,1,1,0.05,1.0,0.0,-0.2882,inf,-inf
0x5458b92082739c35a13d1a26ae62fe0a6994c8f1,2,1,0.01,1.0,0.5,-0.004349999999999965,0.76785,-0.7722
0x5467b02fbace9527f90b32f891a686b1dd87044a,2,1,2.2,0.03636363636363629,0.5,0.023799999999999988,0.6221000000000001,-0.5983
0x548c5a4856e296e3e3b3d54d7f91b798cbab4825,2,1,0.01,1.0,0.5,-0.0042999999999999705,0.7681,-0.7724
0x54fb5e2957a809bace641f2cdba697a84b706313,2,1,0.01,1.0,0.5,-0.0041999999999999815,0.7679999999999999,-0.7721999999999999
0x552b17de00de42b2793cd4a5f0a40f29fa42005a,4,2,827.29,0.01766007083368591,0.5,-0.009725000000000011,0.3327578858945344,-0.34248288589453446
0x5545922019e90fa3fc43548f37780efa81044719,2,1,0.01,1.0,0.5,-0.006299999999999972,0.7701,-0.7764
0x55cb09016dfd2d925e39a1cfe97657a69f12562f,1,1,0.1,1.0,0.0,-0.2861,inf,-inf
0x55dbe58e7210a48846c66476aae2e2abe502fa3b,1,1,0.03,1.0,0.0,-0.2713,inf,-inf
0x561b1b095d47fae9d7fa316fbb64bfc4d3b9a564,2,1,0.01,1.0,0.5,-0.0042999999999999705,0.7681,-0.7724
0x5653a939b78beac5b14a275b43f5c87ab2cf785f,1,1,0.02,1.0,0.0,-0.2712,inf,-inf
0x565b2189d6ab684d5748233397f0e549da7290f9,2,1,0.01,1.0,0.5,-0.004349999999999965,0.76785,-0.7722
0x56676eb8f35d0da05091722cfae5c0f3437f8bcb,2,1,0.01,1.0,0.5,-0.005950000000000011,0.76975,-0.7757000000000001
0x566ce3ee9d9d8f82b038623f02a8270133d3a082,1,1,0.04,1.0,0.0,-0.2712,inf,-inf
0x5681dfa7f4e95c38711dd81d4cd27536a601c1d9,99,18,9622.99,0.4443764360141702,0.5555555555555556,0.04265454545454545,0.03793983120879126,0.00471471424575419
0x56923b91a0fba4f436cee4a6633954f3cd435576,1,1,0.3,1.0,0.0,-0.2861,inf,-inf
0x569e37de70cfc302405dc0577ae46f3140bc67db,43,15,11887.83,0.5762001980176364,0.7441860465116279,0.06263023255813951,0.06117032042716061,0.001459912130978902
0x56aa03b2d1919c48d141e90f329c688171b0fd71,1,1,0.1,1.0,0.0,-0.2728,inf,-inf
0x56ac4f06c203d9dcfb1bc23a0ab06995de35de67,19,1,2.25,0.3333333333333334,0.631578947368421,0.1263578947368421,0.10434826817489018,0.022009626561951934
0x56b42bbbd5f9f9da65c9d62e87cbc83aa07b585c,4,1,0.02,1.0,0.5,-0.004274999999999973,0.44327510715694385,-0.4475501071569438
0x56d0e2a4ed7a885e5cfe833861c682f921c0dcba,1,1,0.1,1.0,0.0,-0.2859,inf,-inf
